../data/Mozart1/Mozart1.musi,data
182," [[0.5, 0.0, 0.07, 0.0, 0.18, 0.0, 0.0, 0.04, 0.0, 0.0, 0.0, 0.21], [0.16, 0.0, 0.0, 0.0, 0.03, 0.0, 0.0, 0.19, 0.0, 0.56, 0.0, 0.06]]"
183," [[0.03, 0.0, 0.0, 0.0, 0.19, 0.56, 0.0, 0.06, 0.0, 0.16, 0.0, 0.0], [0.23, 0.0, 0.31, 0.0, 0.08, 0.08, 0.0, 0.0, 0.0, 0.15, 0.0, 0.15]]"
184," [[0.04, 0.0, 0.04, 0.0, 0.0, 0.0, 0.0, 0.62, 0.0, 0.12, 0.0, 0.17], [0.19, 0.0, 0.19, 0.0, 0.25, 0.06, 0.19, 0.06, 0.0, 0.06, 0.0, 0.0]]"
185," [[0.02, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.27, 0.0, 0.29], [0.23, 0.0, 0.23, 0.0, 0.25, 0.02, 0.23, 0.02, 0.0, 0.02, 0.0, 0.0]]"
186," [[0.0, 0.0, 0.13, 0.0, 0.0, 0.0, 0.02, 0.72, 0.0, 0.0, 0.0, 0.13]]"
187," [[0.0, 0.0, 0.27, 0.0, 0.0, 0.0, 0.01, 0.44, 0.0, 0.0, 0.0, 0.27]]"
188," [[0.0, 0.0, 0.03, 0.0, 0.12, 0.05, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0]]"
189," [[0.25, 0.0, 0.0, 0.0, 0.21, 0.0, 0.0, 0.29, 0.0, 0.25, 0.0, 0.0], [0.25, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0], [0.25, 0.0, 0.06, 0.0, 0.31, 0.0, 0.0, 0.38, 0.0, 0.0, 0.0, 0.0]]"
190," [[0.33, 0.0, 0.0, 0.0, 0.0, 0.08, 0.0, 0.0, 0.0, 0.58, 0.0, 0.0], [0.25, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0], [0.25, 0.0, 0.0, 0.0, 0.0, 0.19, 0.0, 0.0, 0.0, 0.38, 0.0, 0.19]]"
191," [[0.33, 0.0, 0.0, 0.0, 0.11, 0.0, 0.0, 0.56, 0.0, 0.0, 0.0, 0.0], [0.56, 0.0, 0.0, 0.0, 0.11, 0.0, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0], [0.06, 0.0, 0.44, 0.0, 0.06, 0.17, 0.0, 0.17, 0.0, 0.06, 0.0, 0.06]]"
192," [[0.39, 0.0, 0.0, 0.0, 0.39, 0.0, 0.0, 0.22, 0.0, 0.0, 0.0, 0.0], [0.5, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0], [0.25, 0.0, 0.0, 0.0, 0.38, 0.0, 0.0, 0.38, 0.0, 0.0, 0.0, 0.0]]"
193," [[0.25, 0.0, 0.0, 0.0, 0.12, 0.0, 0.0, 0.62, 0.0, 0.0, 0.0, 0.0], [0.5, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0], [0.31, 0.0, 0.06, 0.0, 0.19, 0.06, 0.0, 0.31, 0.0, 0.06, 0.0, 0.0]]"
194," [[0.5, 0.0, 0.12, 0.0, 0.12, 0.12, 0.0, 0.0, 0.0, 0.12, 0.0, 0.0], [0.25, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.12, 0.0, 0.25, 0.0, 0.12], [0.5, 0.0, 0.0, 0.0, 0.0, 0.12, 0.0, 0.0, 0.0, 0.19, 0.0, 0.19]]"
195," [[0.33, 0.0, 0.0, 0.0, 0.11, 0.0, 0.0, 0.56, 0.0, 0.0, 0.0, 0.0], [0.56, 0.0, 0.0, 0.0, 0.11, 0.0, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0], [0.06, 0.0, 0.44, 0.0, 0.06, 0.06, 0.0, 0.17, 0.0, 0.17, 0.0, 0.06]]"
196," [[0.48, 0.0, 0.0, 0.0, 0.27, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0], [0.17, 0.0, 0.0, 0.0, 0.42, 0.0, 0.0, 0.42, 0.0, 0.0, 0.0, 0.0], [0.25, 0.0, 0.1, 0.0, 0.25, 0.0, 0.0, 0.1, 0.2, 0.0, 0.0, 0.1]]"
197," [[0.25, 0.0, 0.0, 0.0, 0.28, 0.0, 0.0, 0.0, 0.0, 0.47, 0.0, 0.0], [0.42, 0.0, 0.0, 0.0, 0.42, 0.0, 0.0, 0.0, 0.0, 0.17, 0.0, 0.0], [0.25, 0.0, 0.0, 0.0, 0.3, 0.0, 0.0, 0.1, 0.0, 0.25, 0.1, 0.0]]"
198," [[0.23, 0.0, 0.0, 0.0, 0.0, 0.57, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0], [0.42, 0.0, 0.0, 0.0, 0.0, 0.17, 0.0, 0.0, 0.0, 0.42, 0.0, 0.0], [0.07, 0.14, 0.0, 0.0, 0.21, 0.32, 0.0, 0.07, 0.0, 0.18, 0.0, 0.0]]"
199," [[0.0, 0.0, 0.6, 0.0, 0.03, 0.17, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0], [0.0, 0.14, 0.04, 0.0, 0.39, 0.0, 0.0, 0.14, 0.0, 0.0, 0.29, 0.0], [0.2, 0.02, 0.12, 0.0, 0.0, 0.14, 0.14, 0.0, 0.0, 0.36, 0.0, 0.02]]"
200," [[0.0, 0.0, 0.12, 0.0, 0.0, 0.12, 0.0, 0.42, 0.0, 0.0, 0.0, 0.35], [0.0, 0.0, 0.33, 0.0, 0.0, 0.13, 0.0, 0.33, 0.0, 0.0, 0.0, 0.2], [0.0, 0.0, 0.28, 0.0, 0.0, 0.06, 0.0, 0.25, 0.0, 0.0, 0.0, 0.41]]"
201," [[0.0, 0.0, 0.06, 0.0, 0.0, 0.29, 0.0, 0.24, 0.0, 0.0, 0.0, 0.41], [0.0, 0.0, 0.47, 0.0, 0.0, 0.13, 0.0, 0.2, 0.0, 0.0, 0.0, 0.2], [0.0, 0.0, 0.21, 0.0, 0.0, 0.18, 0.0, 0.29, 0.0, 0.0, 0.0, 0.32]]"
202," [[0.49, 0.0, 0.0, 0.0, 0.24, 0.0, 0.0, 0.27, 0.0, 0.0, 0.0, 0.0], [0.5, 0.0, 0.11, 0.0, 0.22, 0.06, 0.0, 0.06, 0.0, 0.0, 0.0, 0.06], [0.29, 0.0, 0.0, 0.0, 0.32, 0.0, 0.0, 0.39, 0.0, 0.0, 0.0, 0.0]]"
203," [[0.38, 0.0, 0.0, 0.0, 0.38, 0.0, 0.0, 0.24, 0.0, 0.0, 0.0, 0.0], [0.22, 0.0, 0.11, 0.0, 0.5, 0.06, 0.0, 0.06, 0.0, 0.0, 0.0, 0.06], [0.26, 0.0, 0.0, 0.0, 0.32, 0.0, 0.0, 0.42, 0.0, 0.0, 0.0, 0.0]]"
204," [[0.0, 0.0, 0.17, 0.0, 0.0, 0.17, 0.0, 0.45, 0.0, 0.0, 0.0, 0.2], [0.0, 0.0, 0.33, 0.0, 0.0, 0.13, 0.0, 0.33, 0.0, 0.0, 0.0, 0.2], [0.0, 0.0, 0.34, 0.0, 0.0, 0.06, 0.0, 0.25, 0.0, 0.0, 0.0, 0.34]]"
205," [[0.0, 0.0, 0.17, 0.0, 0.0, 0.25, 0.0, 0.26, 0.0, 0.02, 0.0, 0.3], [0.05, 0.0, 0.42, 0.0, 0.05, 0.16, 0.0, 0.16, 0.0, 0.0, 0.0, 0.16], [0.03, 0.0, 0.28, 0.0, 0.0, 0.15, 0.0, 0.23, 0.0, 0.03, 0.0, 0.3]]"
206," [[0.48, 0.0, 0.0, 0.0, 0.36, 0.0, 0.0, 0.16, 0.0, 0.0, 0.0, 0.0], [0.56, 0.0, 0.11, 0.0, 0.17, 0.06, 0.0, 0.06, 0.0, 0.0, 0.0, 0.06], [0.19, 0.0, 0.1, 0.0, 0.26, 0.06, 0.0, 0.32, 0.0, 0.06, 0.0, 0.0]]"
207," [[0.45, 0.0, 0.0, 0.0, 0.45, 0.0, 0.0, 0.09, 0.0, 0.0, 0.0, 0.0], [0.22, 0.0, 0.11, 0.0, 0.5, 0.06, 0.0, 0.06, 0.0, 0.0, 0.0, 0.06], [0.26, 0.0, 0.0, 0.0, 0.32, 0.0, 0.0, 0.42, 0.0, 0.0, 0.0, 0.0]]"
208," [[0.0, 0.0, 0.27, 0.0, 0.13, 0.0, 0.0, 0.38, 0.0, 0.0, 0.0, 0.22], [0.0, 0.0, 0.34, 0.0, 0.0, 0.06, 0.0, 0.38, 0.0, 0.0, 0.0, 0.22], [0.43, 0.0, 0.01, 0.0, 0.37, 0.0, 0.0, 0.18, 0.0, 0.0, 0.0, 0.01]]"
209," [[0.0, 0.0, 0.36, 0.0, 0.0, 0.0, 0.0, 0.34, 0.0, 0.0, 0.0, 0.3], [0.0, 0.0, 0.34, 0.0, 0.0, 0.06, 0.0, 0.38, 0.0, 0.0, 0.0, 0.22], [0.43, 0.0, 0.01, 0.0, 0.37, 0.0, 0.0, 0.18, 0.0, 0.0, 0.0, 0.01]]"
210," [[0.0, 0.0, 0.16, 0.0, 0.0, 0.0, 0.0, 0.72, 0.0, 0.0, 0.0, 0.12]]"
211," [[0.62, 0.0, 0.0, 0.0, 0.19, 0.0, 0.0, 0.19, 0.0, 0.0, 0.0, 0.0], [0.5, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0], [0.5, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0]]"
212," [[0.0, 0.0, 0.22, 0.0, 0.0, 0.13, 0.0, 0.61, 0.0, 0.04, 0.0, 0.0]]"
213," [[0.61, 0.0, 0.0, 0.0, 0.22, 0.03, 0.0, 0.11, 0.0, 0.03, 0.0, 0.0], [0.1, 0.0, 0.0, 0.0, 0.6, 0.0, 0.0, 0.1, 0.0, 0.1, 0.0, 0.1]]"
214," [[0.1, 0.0, 0.6, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.1, 0.0, 0.1], [0.0, 0.0, 0.14, 0.0, 0.04, 0.18, 0.0, 0.43, 0.0, 0.07, 0.0, 0.14]]"
215," [[0.47, 0.0, 0.0, 0.0, 0.32, 0.06, 0.0, 0.12, 0.0, 0.03, 0.0, 0.0], [0.1, 0.0, 0.0, 0.0, 0.6, 0.0, 0.0, 0.1, 0.0, 0.1, 0.0, 0.1]]"
216," [[0.1, 0.0, 0.6, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.1, 0.0, 0.1], [0.0, 0.0, 0.14, 0.0, 0.04, 0.18, 0.0, 0.43, 0.0, 0.07, 0.0, 0.14]]"
217," [[0.64, 0.0, 0.0, 0.0, 0.08, 0.02, 0.0, 0.07, 0.0, 0.06, 0.14, 0.0]]"
218," [[0.5, 0.0, 0.02, 0.0, 0.04, 0.08, 0.0, 0.08, 0.0, 0.27, 0.02, 0.0], [0.3, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.1, 0.2, 0.0]]"
219," [[0.55, 0.0, 0.0, 0.0, 0.21, 0.0, 0.0, 0.09, 0.02, 0.06, 0.07, 0.0]]"
220," [[0.31, 0.0, 0.0, 0.0, 0.0, 0.42, 0.0, 0.0, 0.0, 0.26, 0.0, 0.01], [0.5, 0.0, 0.0, 0.0, 0.0, 0.28, 0.0, 0.0, 0.0, 0.22, 0.0, 0.0], [0.39, 0.0, 0.0, 0.0, 0.27, 0.0, 0.0, 0.34, 0.0, 0.0, 0.0, 0.0]]"
221," [[0.39, 0.0, 0.0, 0.0, 0.0, 0.39, 0.0, 0.0, 0.0, 0.2, 0.0, 0.02], [0.5, 0.0, 0.0, 0.0, 0.0, 0.28, 0.0, 0.0, 0.0, 0.22, 0.0, 0.0], [0.39, 0.0, 0.0, 0.0, 0.27, 0.0, 0.0, 0.34, 0.0, 0.0, 0.0, 0.0]]"
222," [[0.0, 0.0, 0.68, 0.0, 0.03, 0.17, 0.0, 0.03, 0.0, 0.1, 0.0, 0.0], [0.16, 0.0, 0.41, 0.0, 0.06, 0.19, 0.0, 0.03, 0.0, 0.16, 0.0, 0.0], [0.03, 0.0, 0.11, 0.0, 0.03, 0.22, 0.0, 0.47, 0.0, 0.03, 0.0, 0.11]]"
223," [[0.59, 0.0, 0.03, 0.0, 0.22, 0.03, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0], [0.41, 0.0, 0.06, 0.0, 0.31, 0.03, 0.0, 0.16, 0.0, 0.0, 0.0, 0.03], [0.11, 0.0, 0.03, 0.0, 0.28, 0.03, 0.0, 0.03, 0.0, 0.48, 0.0, 0.03]]"
224," [[0.02, 0.0, 0.23, 0.0, 0.02, 0.52, 0.0, 0.0, 0.0, 0.21, 0.0, 0.0], [0.0, 0.0, 0.25, 0.0, 0.0, 0.62, 0.0, 0.0, 0.0, 0.12, 0.0, 0.0], [0.06, 0.0, 0.11, 0.0, 0.11, 0.11, 0.0, 0.56, 0.0, 0.0, 0.0, 0.06]]"
225," [[0.15, 0.0, 0.14, 0.0, 0.21, 0.15, 0.0, 0.32, 0.0, 0.02, 0.0, 0.01]]"
226," [[0.0, 0.0, 0.35, 0.0, 0.05, 0.3, 0.0, 0.1, 0.0, 0.2, 0.0, 0.0], [0.17, 0.0, 0.17, 0.0, 0.08, 0.42, 0.0, 0.0, 0.0, 0.08, 0.0, 0.08], [0.08, 0.0, 0.08, 0.0, 0.12, 0.33, 0.0, 0.25, 0.0, 0.04, 0.0, 0.08]]"
227," [[0.33, 0.0, 0.0, 0.04, 0.29, 0.0, 0.08, 0.25, 0.0, 0.0, 0.0, 0.0], [0.08, 0.0, 0.17, 0.0, 0.17, 0.08, 0.0, 0.42, 0.0, 0.0, 0.0, 0.08], [0.25, 0.0, 0.0, 0.08, 0.29, 0.04, 0.0, 0.08, 0.0, 0.12, 0.0, 0.12]]"
228," [[0.0, 0.0, 0.25, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0], [0.0, 0.0, 0.38, 0.0, 0.0, 0.38, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0], [0.1, 0.0, 0.15, 0.0, 0.15, 0.06, 0.0, 0.44, 0.0, 0.0, 0.0, 0.1]]"
229," [[0.82, 0.0, 0.03, 0.0, 0.03, 0.05, 0.0, 0.05, 0.0, 0.03, 0.0, 0.0], [0.12, 0.0, 0.19, 0.0, 0.25, 0.19, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0]]"
230," [[0.07, 0.0, 0.0, 0.0, 0.29, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.14], [0.12, 0.0, 0.19, 0.0, 0.25, 0.19, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0]]"
231," [[0.12, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.62, 0.0, 0.0, 0.0, 0.0], [0.12, 0.0, 0.19, 0.0, 0.25, 0.19, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0]]"
232," [[0.0, 0.0, 0.12, 0.0, 0.12, 0.19, 0.0, 0.5, 0.0, 0.06, 0.0, 0.0], [0.12, 0.0, 0.19, 0.0, 0.25, 0.06, 0.0, 0.25, 0.0, 0.0, 0.0, 0.12]]"
233," [[0.25, 0.0, 0.19, 0.0, 0.12, 0.06, 0.0, 0.12, 0.0, 0.12, 0.0, 0.12], [0.21, 0.0, 0.16, 0.0, 0.18, 0.09, 0.0, 0.29, 0.0, 0.0, 0.0, 0.07]]"
234," [[0.32, 0.0, 0.0, 0.0, 0.29, 0.0, 0.0, 0.38, 0.0, 0.0, 0.0, 0.0], [0.28, 0.0, 0.17, 0.0, 0.19, 0.11, 0.0, 0.12, 0.0, 0.0, 0.0, 0.12]]"
235," [[0.32, 0.0, 0.0, 0.0, 0.3, 0.0, 0.0, 0.38, 0.0, 0.0, 0.0, 0.0], [0.21, 0.0, 0.18, 0.0, 0.2, 0.1, 0.0, 0.2, 0.0, 0.0, 0.0, 0.11]]"
236," [[0.25, 0.0, 0.0, 0.0, 0.38, 0.0, 0.0, 0.38, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.38, 0.0, 0.0, 0.33, 0.0, 0.21, 0.0, 0.08, 0.0, 0.0], [0.2, 0.0, 0.19, 0.0, 0.22, 0.0, 0.0, 0.22, 0.0, 0.0, 0.0, 0.17]]"
237," [[0.38, 0.0, 0.02, 0.0, 0.33, 0.02, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0], [0.17, 0.0, 0.15, 0.0, 0.02, 0.42, 0.0, 0.02, 0.0, 0.23, 0.0, 0.0]]"
238," [[0.17, 0.0, 0.0, 0.0, 0.29, 0.0, 0.0, 0.54, 0.0, 0.0, 0.0, 0.0], [0.38, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.3, 0.0, 0.0, 0.2, 0.0, 0.3, 0.0, 0.0, 0.0, 0.2]]"
239," [[0.14, 0.0, 0.01, 0.0, 0.49, 0.01, 0.0, 0.33, 0.0, 0.01, 0.0, 0.01], [0.12, 0.0, 0.2, 0.0, 0.01, 0.47, 0.0, 0.01, 0.0, 0.17, 0.0, 0.01]]"
240," [[0.21, 0.0, 0.0, 0.0, 0.21, 0.0, 0.0, 0.58, 0.0, 0.0, 0.0, 0.0], [0.29, 0.0, 0.0, 0.0, 0.31, 0.0, 0.0, 0.33, 0.0, 0.06, 0.0, 0.02], [0.25, 0.0, 0.01, 0.0, 0.31, 0.01, 0.0, 0.39, 0.0, 0.03, 0.0, 0.01]]"
241," [[0.0, 0.0, 0.22, 0.0, 0.0, 0.02, 0.0, 0.62, 0.0, 0.0, 0.0, 0.15], [0.0, 0.0, 0.28, 0.0, 0.0, 0.02, 0.0, 0.43, 0.0, 0.0, 0.0, 0.28], [0.0, 0.0, 0.27, 0.0, 0.0, 0.19, 0.0, 0.34, 0.0, 0.03, 0.0, 0.17]]"
242," [[0.57, 0.0, 0.0, 0.0, 0.26, 0.0, 0.0, 0.17, 0.0, 0.0, 0.0, 0.0], [0.4, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0], [0.52, 0.0, 0.0, 0.0, 0.22, 0.0, 0.0, 0.26, 0.0, 0.0, 0.0, 0.0]]"
243," [[0.62, 0.0, 0.0, 0.0, 0.31, 0.0, 0.0, 0.08, 0.0, 0.0, 0.0, 0.0], [0.2, 0.0, 0.0, 0.0, 0.3, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0], [0.52, 0.0, 0.0, 0.0, 0.22, 0.0, 0.0, 0.26, 0.0, 0.0, 0.0, 0.0]]"
244," [[0.44, 0.0, 0.0, 0.0, 0.38, 0.0, 0.0, 0.19, 0.0, 0.0, 0.0, 0.0], [0.14, 0.0, 0.14, 0.0, 0.25, 0.0, 0.0, 0.32, 0.0, 0.0, 0.0, 0.14], [0.3, 0.0, 0.01, 0.0, 0.37, 0.0, 0.0, 0.07, 0.0, 0.18, 0.0, 0.07]]"
245," [[0.39, 0.0, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.28, 0.0, 0.0], [0.29, 0.0, 0.0, 0.0, 0.17, 0.17, 0.0, 0.17, 0.0, 0.21, 0.0, 0.0], [0.02, 0.07, 0.24, 0.0, 0.09, 0.27, 0.0, 0.02, 0.0, 0.29, 0.0, 0.0]]"
246," [[0.0, 0.17, 0.16, 0.0, 0.14, 0.16, 0.0, 0.03, 0.03, 0.31, 0.0, 0.0], [0.0, 0.04, 0.21, 0.0, 0.21, 0.18, 0.0, 0.14, 0.04, 0.11, 0.04, 0.04], [0.1, 0.0, 0.21, 0.0, 0.05, 0.23, 0.18, 0.05, 0.0, 0.13, 0.02, 0.05]]"
247," [[0.0, 0.0, 0.27, 0.0, 0.0, 0.0, 0.0, 0.43, 0.0, 0.0, 0.0, 0.3], [0.0, 0.0, 0.34, 0.0, 0.0, 0.06, 0.0, 0.38, 0.0, 0.0, 0.0, 0.22], [0.43, 0.0, 0.01, 0.0, 0.37, 0.0, 0.0, 0.18, 0.0, 0.0, 0.0, 0.01]]"
248," [[0.0, 0.0, 0.36, 0.0, 0.0, 0.0, 0.0, 0.34, 0.0, 0.0, 0.0, 0.3], [0.0, 0.0, 0.34, 0.0, 0.0, 0.06, 0.0, 0.38, 0.0, 0.0, 0.0, 0.22], [0.43, 0.0, 0.01, 0.0, 0.37, 0.0, 0.0, 0.18, 0.0, 0.0, 0.0, 0.01]]"
249," [[0.22, 0.0, 0.0, 0.0, 0.18, 0.0, 0.0, 0.58, 0.0, 0.02, 0.0, 0.0], [0.0, 0.0, 0.43, 0.0, 0.0, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0, 0.43]]"
250," [[0.78, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.1, 0.0, 0.02, 0.0, 0.0], [0.5, 0.0, 0.0, 0.0, 0.0, 0.12, 0.0, 0.12, 0.0, 0.12, 0.0, 0.12]]"
251," [[0.71, 0.0, 0.0, 0.0, 0.14, 0.0, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0], [0.33, 0.0, 0.17, 0.0, 0.17, 0.17, 0.0, 0.17, 0.0, 0.0, 0.0, 0.0], [0.67, 0.0, 0.05, 0.0, 0.16, 0.05, 0.0, 0.04, 0.0, 0.03, 0.0, 0.0]]"
252," [[0.47, 0.0, 0.0, 0.0, 0.0, 0.27, 0.0, 0.0, 0.0, 0.27, 0.0, 0.0], [0.57, 0.0, 0.0, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0, 0.29, 0.0, 0.0], [0.63, 0.0, 0.05, 0.0, 0.0, 0.05, 0.0, 0.11, 0.0, 0.05, 0.0, 0.11]]"
253," [[0.54, 0.0, 0.0, 0.0, 0.23, 0.0, 0.0, 0.23, 0.0, 0.0, 0.0, 0.0], [0.33, 0.0, 0.17, 0.0, 0.17, 0.17, 0.0, 0.17, 0.0, 0.0, 0.0, 0.0], [0.6, 0.0, 0.05, 0.0, 0.22, 0.0, 0.03, 0.04, 0.0, 0.0, 0.0, 0.05]]"
254," [[0.0, 0.0, 0.46, 0.0, 0.0, 0.17, 0.0, 0.19, 0.0, 0.0, 0.0, 0.18], [0.0, 0.0, 0.14, 0.0, 0.0, 0.14, 0.0, 0.43, 0.0, 0.0, 0.0, 0.29], [0.0, 0.0, 0.3, 0.0, 0.0, 0.29, 0.0, 0.25, 0.0, 0.0, 0.0, 0.16]]"
255," [[0.49, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.05, 0.06, 0.0, 0.0, 0.0], [0.39, 0.0, 0.0, 0.0, 0.3, 0.0, 0.0, 0.0, 0.0, 0.3, 0.0, 0.0]]"
256," [[0.0, 0.0, 0.35, 0.0, 0.0, 0.41, 0.0, 0.0, 0.0, 0.24, 0.0, 0.0], [0.0, 0.0, 0.15, 0.0, 0.12, 0.54, 0.0, 0.07, 0.0, 0.07, 0.0, 0.05], [0.16, 0.0, 0.18, 0.0, 0.17, 0.02, 0.0, 0.33, 0.0, 0.02, 0.0, 0.12]]"
257," [[0.44, 0.0, 0.03, 0.0, 0.32, 0.03, 0.0, 0.18, 0.0, 0.0, 0.0, 0.0], [0.31, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.06, 0.0, 0.06, 0.0, 0.06], [0.3, 0.0, 0.17, 0.0, 0.02, 0.3, 0.0, 0.02, 0.0, 0.19, 0.0, 0.02]]"
258," [[0.32, 0.0, 0.0, 0.0, 0.29, 0.0, 0.0, 0.32, 0.0, 0.03, 0.0, 0.03], [0.2, 0.0, 0.07, 0.0, 0.29, 0.07, 0.0, 0.34, 0.0, 0.02, 0.0, 0.02], [0.07, 0.0, 0.16, 0.0, 0.19, 0.1, 0.0, 0.36, 0.0, 0.04, 0.0, 0.08]]"
259," [[0.58, 0.0, 0.0, 0.0, 0.32, 0.0, 0.0, 0.11, 0.0, 0.0, 0.0, 0.0], [0.31, 0.0, 0.0, 0.0, 0.31, 0.0, 0.0, 0.33, 0.0, 0.02, 0.0, 0.02], [0.42, 0.0, 0.0, 0.0, 0.36, 0.0, 0.0, 0.2, 0.0, 0.01, 0.0, 0.01]]"
260," [[0.26, 0.0, 0.0, 0.0, 0.43, 0.0, 0.0, 0.25, 0.0, 0.01, 0.0, 0.05], [0.28, 0.0, 0.0, 0.0, 0.41, 0.0, 0.0, 0.26, 0.0, 0.02, 0.0, 0.04]]"
261," [[0.68, 0.0, 0.0, 0.0, 0.28, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.0], [0.5, 0.0, 0.0, 0.0, 0.17, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.0], [0.51, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0]]"
262," [[0.61, 0.0, 0.0, 0.0, 0.29, 0.0, 0.0, 0.11, 0.0, 0.0, 0.0, 0.0], [0.31, 0.0, 0.0, 0.0, 0.31, 0.0, 0.0, 0.38, 0.0, 0.0, 0.0, 0.0], [0.5, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0]]"
263," [[0.58, 0.0, 0.0, 0.0, 0.32, 0.0, 0.0, 0.11, 0.0, 0.0, 0.0, 0.0], [0.43, 0.0, 0.0, 0.0, 0.3, 0.0, 0.0, 0.26, 0.0, 0.0, 0.0, 0.0], [0.33, 0.0, 0.0, 0.0, 0.39, 0.0, 0.0, 0.28, 0.0, 0.0, 0.0, 0.0]]"
