../data/Mozart2/Mozart;data;Chord;;;
0; [[0.62, 0.0, 0.0, 0.0, 0.12, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0], [0.12, 0.0, 0.0, 0.0, 0.38, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]];I;I;;
1; [[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.5], [0.12, 0.0, 0.12, 0.0, 0.0, 0.25, 0.0, 0.25, 0.0, 0.0, 0.0, 0.25], [0.5, 0.0, 0.0, 0.0, 0.17, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.0]];V;I;I;
2; [[0.12, 0.0, 0.0, 0.0, 0.0, 0.12, 0.0, 0.0, 0.0, 0.75, 0.0, 0.0], [0.38, 0.0, 0.0, 0.0, 0.12, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]];IV;I;;
3; [[0.0, 0.0, 0.11, 0.0, 0.06, 0.22, 0.0, 0.5, 0.0, 0.0, 0.0, 0.11], [0.17, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.0]];V;I;;
4; [[0.08, 0.0, 0.08, 0.0, 0.08, 0.42, 0.0, 0.08, 0.0, 0.17, 0.0, 0.08], [0.31, 0.0, 0.06, 0.0, 0.06, 0.31, 0.0, 0.06, 0.0, 0.12, 0.0, 0.06]];IV;IV;;
5; [[0.31, 0.0, 0.06, 0.0, 0.31, 0.06, 0.0, 0.12, 0.0, 0.06, 0.0, 0.06], [0.31, 0.0, 0.06, 0.0, 0.31, 0.06, 0.0, 0.12, 0.0, 0.06, 0.0, 0.06]];I;I;;
6; [[0.31, 0.0, 0.31, 0.0, 0.06, 0.12, 0.0, 0.06, 0.0, 0.06, 0.0, 0.06], [0.06, 0.0, 0.31, 0.0, 0.06, 0.12, 0.0, 0.06, 0.0, 0.06, 0.0, 0.31]];II;V;;
7; [[0.56, 0.0, 0.06, 0.0, 0.12, 0.06, 0.0, 0.06, 0.0, 0.06, 0.0, 0.06], [0.31, 0.0, 0.06, 0.0, 0.38, 0.06, 0.0, 0.06, 0.0, 0.06, 0.0, 0.06]];I;I;;
8; [[0.0, 0.04, 0.08, 0.0, 0.04, 0.38, 0.0, 0.04, 0.0, 0.38, 0.0, 0.04], [0.0, 0.12, 0.25, 0.0, 0.12, 0.12, 0.0, 0.12, 0.0, 0.12, 0.0, 0.12]];II;II;;
9; [[0.06, 0.0, 0.0, 0.0, 0.06, 0.44, 0.0, 0.19, 0.0, 0.12, 0.0, 0.12], [0.06, 0.0, 0.06, 0.0, 0.06, 0.12, 0.12, 0.12, 0.0, 0.44, 0.0, 0.0]];II;V;;
10; [[0.0, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.38], [0.38, 0.0, 0.0, 0.0, 0.38, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0], [0.19, 0.0, 0.19, 0.0, 0.19, 0.0, 0.0, 0.38, 0.0, 0.0, 0.0, 0.06]];V;I;I;
11; [[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.62, 0.0, 0.0, 0.0, 0.12]];V;;;
12; [[0.25, 0.25, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]];;;;
13; [[0.25, 0.0, 0.0, 0.0, 0.38, 0.0, 0.0, 0.38, 0.0, 0.0, 0.0, 0.0], [0.25, 0.0, 0.19, 0.0, 0.31, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0]];I;I;;
14; [[0.17, 0.0, 0.13, 0.0, 0.11, 0.11, 0.0, 0.3, 0.0, 0.0, 0.0, 0.19]];V;;;
15; [[0.25, 0.0, 0.0, 0.0, 0.38, 0.0, 0.0, 0.38, 0.0, 0.0, 0.0, 0.0], [0.25, 0.0, 0.19, 0.0, 0.31, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0]];I;I;;
16; [[0.17, 0.0, 0.13, 0.0, 0.11, 0.11, 0.0, 0.3, 0.0, 0.0, 0.0, 0.19]];V;;;
17; [[0.14, 0.0, 0.0, 0.0, 0.14, 0.0, 0.0, 0.71, 0.0, 0.0, 0.0, 0.0], [0.14, 0.0, 0.0, 0.0, 0.71, 0.0, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0], [0.14, 0.0, 0.0, 0.0, 0.0, 0.36, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0]];I6;IV;;
18; [[0.0, 0.0, 0.14, 0.0, 0.0, 0.71, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14], [0.0, 0.0, 0.71, 0.0, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14], [0.0, 0.0, 0.0, 0.0, 0.36, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.14]];VII6;III;;
19; [[0.14, 0.0, 0.0, 0.0, 0.71, 0.0, 0.0, 0.0, 0.0, 0.14, 0.0, 0.0], [0.71, 0.0, 0.0, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0, 0.14, 0.0, 0.0], [0.0, 0.0, 0.36, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.14, 0.0, 0.0]];VI6;II;;
20; [[0.0, 0.0, 0.71, 0.0, 0.0, 0.0, 0.0, 0.14, 0.0, 0.0, 0.0, 0.14], [0.0, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0, 0.14, 0.0, 0.0, 0.0, 0.71], [0.43, 0.0, 0.0, 0.0, 0.43, 0.0, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0]];V6;I;;
21; [[0.0, 0.0, 0.17, 0.0, 0.02, 0.4, 0.0, 0.0, 0.02, 0.4, 0.0, 0.0]];II6;;;
22; [[0.0, 0.08, 0.25, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0], [0.0, 0.04, 0.25, 0.0, 0.04, 0.33, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0], [0.0, 0.0, 0.17, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0]];I46;;;
23; [[0.25, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0, 0.42, 0.0, 0.0, 0.0, 0.0], [0.25, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0], [0.19, 0.0, 0.06, 0.0, 0.31, 0.06, 0.0, 0.38, 0.0, 0.0, 0.0, 0.0]];V7;;;
24; [[0.0, 0.0, 0.5, 0.0, 0.17, 0.17, 0.0, 0.08, 0.0, 0.0, 0.0, 0.08], [0.0, 0.0, 0.25, 0.0, 0.25, 0.25, 0.0, 0.12, 0.0, 0.0, 0.0, 0.12], [0.03, 0.0, 0.25, 0.0, 0.22, 0.25, 0.0, 0.12, 0.0, 0.0, 0.0, 0.12]];I;V7;;
25; [[0.62, 0.0, 0.0, 0.0, 0.31, 0.0, 0.0, 0.06, 0.0, 0.0, 0.0, 0.0], [0.05, 0.0, 0.3, 0.0, 0.1, 0.25, 0.0, 0.25, 0.0, 0.0, 0.0, 0.05]];I;V7;;
26; [[0.62, 0.0, 0.0, 0.0, 0.31, 0.0, 0.0, 0.06, 0.0, 0.0, 0.0, 0.0], [0.05, 0.0, 0.3, 0.0, 0.1, 0.25, 0.0, 0.25, 0.0, 0.0, 0.0, 0.05]];I;;;
27; [[0.64, 0.0, 0.0, 0.0, 0.27, 0.0, 0.0, 0.09, 0.0, 0.0, 0.0, 0.0]];I;;;
28; [[0.88, 0.0, 0.0, 0.06, 0.0, 0.0, 0.0, 0.06, 0.0, 0.0, 0.0, 0.0], [0.05, 0.0, 0.3, 0.1, 0.0, 0.25, 0.0, 0.25, 0.0, 0.0, 0.0, 0.05]];I;V7;;
29; [[0.62, 0.0, 0.0, 0.31, 0.0, 0.0, 0.0, 0.06, 0.0, 0.0, 0.0, 0.0], [0.05, 0.0, 0.3, 0.1, 0.0, 0.25, 0.0, 0.25, 0.0, 0.0, 0.0, 0.05]];I;V7;;
30; [[0.45, 0.0, 0.09, 0.09, 0.0, 0.09, 0.0, 0.09, 0.0, 0.09, 0.0, 0.09], [0.55, 0.0, 0.09, 0.09, 0.0, 0.0, 0.0, 0.09, 0.0, 0.09, 0.09, 0.0]];I;I;;
31; [[0.09, 0.0, 0.09, 0.0, 0.09, 0.0, 0.09, 0.09, 0.0, 0.09, 0.0, 0.45], [0.09, 0.0, 0.09, 0.0, 0.0, 0.09, 0.0, 0.45, 0.09, 0.0, 0.0, 0.18]];V;;;
32; [[0.62, 0.0, 0.0, 0.31, 0.0, 0.0, 0.0, 0.06, 0.0, 0.0, 0.0, 0.0], [0.05, 0.0, 0.3, 0.1, 0.0, 0.25, 0.0, 0.25, 0.0, 0.0, 0.0, 0.05]];I;V7;;
33; [[0.62, 0.0, 0.0, 0.31, 0.0, 0.0, 0.0, 0.06, 0.0, 0.0, 0.0, 0.0], [0.05, 0.0, 0.3, 0.1, 0.0, 0.25, 0.0, 0.25, 0.0, 0.0, 0.0, 0.05]];I;V7;;
34; [[0.33, 0.0, 0.07, 0.33, 0.0, 0.07, 0.0, 0.07, 0.0, 0.07, 0.0, 0.07], [0.55, 0.0, 0.09, 0.09, 0.0, 0.0, 0.0, 0.09, 0.0, 0.09, 0.09, 0.0]];I;I;;
35; [[0.09, 0.0, 0.09, 0.09, 0.0, 0.09, 0.0, 0.09, 0.0, 0.09, 0.0, 0.45], [0.09, 0.0, 0.45, 0.0, 0.0, 0.09, 0.0, 0.09, 0.09, 0.0, 0.0, 0.18]];V;;;
36; [[0.18, 0.0, 0.09, 0.45, 0.0, 0.09, 0.0, 0.09, 0.0, 0.0, 0.09, 0.0], [0.09, 0.0, 0.0, 0.09, 0.0, 0.18, 0.0, 0.09, 0.45, 0.0, 0.09, 0.0]];I;IV;;
37; [[0.09, 0.0, 0.45, 0.09, 0.0, 0.09, 0.0, 0.0, 0.09, 0.0, 0.18, 0.0], [0.0, 0.0, 0.09, 0.18, 0.0, 0.09, 0.0, 0.45, 0.09, 0.0, 0.09, 0.0]];VII6;III;;
38; [[0.45, 0.0, 0.09, 0.09, 0.0, 0.0, 0.0, 0.09, 0.18, 0.0, 0.09, 0.0], [0.09, 0.0, 0.18, 0.09, 0.0, 0.45, 0.0, 0.09, 0.09, 0.0, 0.0, 0.0]];Vi;II;;
39; [[0.09, 0.0, 0.09, 0.0, 0.0, 0.09, 0.0, 0.18, 0.09, 0.0, 0.0, 0.45], [0.18, 0.0, 0.09, 0.45, 0.0, 0.0, 0.0, 0.09, 0.09, 0.0, 0.09, 0.0]];V;I;;
40; [[0.07, 0.0, 0.07, 0.0, 0.07, 0.13, 0.0, 0.07, 0.0, 0.6, 0.0, 0.0], [0.03, 0.0, 0.28, 0.0, 0.03, 0.28, 0.0, 0.28, 0.0, 0.03, 0.0, 0.06]];II;V7;;
41; [[0.62, 0.0, 0.0, 0.0, 0.12, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0], [0.12, 0.0, 0.0, 0.0, 0.38, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]];I;;;
42; [[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.5], [0.12, 0.0, 0.12, 0.0, 0.0, 0.25, 0.0, 0.25, 0.0, 0.0, 0.0, 0.25], [0.5, 0.0, 0.0, 0.0, 0.17, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.0]];V34;I;;
43; [[0.12, 0.0, 0.0, 0.0, 0.0, 0.12, 0.0, 0.0, 0.0, 0.75, 0.0, 0.0], [0.38, 0.0, 0.0, 0.0, 0.12, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]];IV46;I;;
44; [[0.0, 0.0, 0.11, 0.0, 0.06, 0.22, 0.0, 0.5, 0.0, 0.0, 0.0, 0.11], [0.17, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.0]];V56;;;
45; [[0.08, 0.0, 0.08, 0.0, 0.08, 0.42, 0.0, 0.08, 0.0, 0.17, 0.0, 0.08], [0.31, 0.0, 0.06, 0.0, 0.06, 0.31, 0.0, 0.06, 0.0, 0.12, 0.0, 0.06]];IV;;;
46; [[0.31, 0.0, 0.06, 0.0, 0.31, 0.06, 0.0, 0.12, 0.0, 0.06, 0.0, 0.06], [0.31, 0.0, 0.06, 0.0, 0.31, 0.06, 0.0, 0.12, 0.0, 0.06, 0.0, 0.06]];I6;;;
47; [[0.31, 0.0, 0.31, 0.0, 0.06, 0.12, 0.0, 0.06, 0.0, 0.06, 0.0, 0.06], [0.06, 0.0, 0.31, 0.0, 0.06, 0.12, 0.0, 0.06, 0.0, 0.06, 0.0, 0.31]];II7;V34;;
48; [[0.56, 0.0, 0.06, 0.0, 0.12, 0.06, 0.0, 0.06, 0.0, 0.06, 0.0, 0.06], [0.12, 0.0, 0.12, 0.0, 0.25, 0.12, 0.0, 0.12, 0.0, 0.12, 0.0, 0.12]];I;;;
49; [[0.17, 0.0, 0.08, 0.0, 0.42, 0.08, 0.0, 0.08, 0.0, 0.08, 0.0, 0.08], [0.12, 0.0, 0.06, 0.0, 0.31, 0.06, 0.0, 0.31, 0.0, 0.06, 0.0, 0.06]];I;;;
50; [[0.31, 0.0, 0.06, 0.0, 0.12, 0.06, 0.0, 0.31, 0.0, 0.06, 0.0, 0.06], [0.31, 0.0, 0.06, 0.0, 0.12, 0.06, 0.0, 0.31, 0.0, 0.06, 0.0, 0.06]];I6;;;
51; [[0.31, 0.0, 0.12, 0.0, 0.06, 0.31, 0.0, 0.06, 0.0, 0.06, 0.0, 0.06], [0.06, 0.0, 0.12, 0.0, 0.06, 0.31, 0.0, 0.06, 0.0, 0.06, 0.0, 0.31]];II7;V7;;
52; [[0.38, 0.0, 0.06, 0.0, 0.31, 0.06, 0.0, 0.06, 0.0, 0.06, 0.0, 0.06], [0.38, 0.0, 0.06, 0.0, 0.31, 0.06, 0.0, 0.06, 0.0, 0.06, 0.0, 0.06]];I;;;
53; [[0.0, 0.04, 0.08, 0.0, 0.04, 0.38, 0.0, 0.04, 0.0, 0.38, 0.0, 0.04], [0.0, 0.12, 0.25, 0.0, 0.12, 0.12, 0.0, 0.12, 0.0, 0.12, 0.0, 0.12]];II6;;;
54; [[0.06, 0.0, 0.0, 0.0, 0.06, 0.44, 0.0, 0.19, 0.0, 0.12, 0.0, 0.12], [0.06, 0.0, 0.06, 0.0, 0.06, 0.12, 0.12, 0.12, 0.0, 0.44, 0.0, 0.0]];V6;;;
55; [[0.0, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.38], [0.38, 0.0, 0.0, 0.0, 0.38, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0], [0.19, 0.0, 0.19, 0.0, 0.19, 0.0, 0.0, 0.38, 0.0, 0.0, 0.0, 0.06]];V;I46;V;I46
56; [[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.62, 0.0, 0.0, 0.0, 0.12]];V;;;
57; [[0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.25, 0.5, 0.0, 0.0, 0.0, 0.0]];;;;
58; [[0.25, 0.0, 0.0, 0.0, 0.38, 0.0, 0.0, 0.38, 0.0, 0.0, 0.0, 0.0], [0.25, 0.0, 0.19, 0.0, 0.31, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0]];I6;;;
59; [[0.17, 0.0, 0.13, 0.0, 0.11, 0.11, 0.0, 0.3, 0.0, 0.0, 0.0, 0.19]];V24;;;
60; [[0.25, 0.0, 0.0, 0.0, 0.38, 0.0, 0.0, 0.38, 0.0, 0.0, 0.0, 0.0], [0.25, 0.0, 0.19, 0.0, 0.31, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0]];I6;;;
61; [[0.17, 0.0, 0.13, 0.0, 0.11, 0.11, 0.0, 0.3, 0.0, 0.0, 0.0, 0.19]];V24;;;
62; [[0.14, 0.0, 0.0, 0.0, 0.14, 0.0, 0.0, 0.71, 0.0, 0.0, 0.0, 0.0], [0.14, 0.0, 0.0, 0.0, 0.71, 0.0, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0], [0.14, 0.0, 0.0, 0.0, 0.0, 0.36, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0]];I6;IV;;
63; [[0.0, 0.0, 0.14, 0.0, 0.0, 0.71, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14], [0.0, 0.0, 0.71, 0.0, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14], [0.0, 0.0, 0.0, 0.0, 0.36, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.14]];VII7;III;;
64; [[0.14, 0.0, 0.0, 0.0, 0.71, 0.0, 0.0, 0.0, 0.0, 0.14, 0.0, 0.0], [0.71, 0.0, 0.0, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0, 0.14, 0.0, 0.0], [0.0, 0.0, 0.36, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.14, 0.0, 0.0]];VI6;II;;
65; [[0.0, 0.0, 0.71, 0.0, 0.0, 0.0, 0.0, 0.14, 0.0, 0.0, 0.0, 0.14], [0.0, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0, 0.14, 0.0, 0.0, 0.0, 0.71], [0.43, 0.0, 0.0, 0.0, 0.43, 0.0, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0]];V6;I;;
66; [[0.0, 0.0, 0.4, 0.0, 0.0, 0.3, 0.0, 0.0, 0.0, 0.3, 0.0, 0.0], [0.0, 0.08, 0.25, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0]];II6;;;
67; [[0.23, 0.0, 0.0, 0.23, 0.0, 0.0, 0.23, 0.0, 0.0, 0.31, 0.0, 0.0], [0.25, 0.0, 0.0, 0.25, 0.0, 0.0, 0.25, 0.0, 0.06, 0.19, 0.0, 0.0]];VII7;;;
68; [[0.12, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.38, 0.0, 0.12, 0.0, 0.12], [0.25, 0.0, 0.25, 0.0, 0.38, 0.0, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0], [0.25, 0.0, 0.06, 0.0, 0.31, 0.06, 0.0, 0.19, 0.0, 0.06, 0.0, 0.06]];I46;;;
69; [[0.0, 0.0, 0.5, 0.0, 0.17, 0.17, 0.0, 0.08, 0.0, 0.0, 0.0, 0.08], [0.0, 0.0, 0.25, 0.0, 0.25, 0.25, 0.0, 0.12, 0.0, 0.0, 0.0, 0.12], [0.03, 0.0, 0.25, 0.0, 0.22, 0.25, 0.0, 0.12, 0.0, 0.0, 0.0, 0.12]];V7;;;
70; [[0.62, 0.0, 0.0, 0.0, 0.31, 0.0, 0.0, 0.06, 0.0, 0.0, 0.0, 0.0], [0.05, 0.0, 0.3, 0.0, 0.1, 0.25, 0.0, 0.25, 0.0, 0.0, 0.0, 0.05]];I;;;
71; [[0.62, 0.0, 0.0, 0.0, 0.31, 0.0, 0.0, 0.06, 0.0, 0.0, 0.0, 0.0], [0.05, 0.0, 0.3, 0.0, 0.1, 0.25, 0.0, 0.25, 0.0, 0.0, 0.0, 0.05]];I;V7;;
;;I;;;
